File,Channel,Nuclei,x,y,z,Value,FWHM,Label
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,1,846,57,19,16.9137633075115,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,1,859,42,27,6.93823829205303,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,1,837,55,31,6.30942369090553,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,1,851,39,26,5.72167459181856,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,4,900,329,25,40.1022820465496,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,4,896,317,20,36.0441017000558,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,4,944,302,27,32.1287012567918,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,4,934,285,21,8.02851082126926,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,4,926,306,22,5.34122110105727,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,267,556,25,43.1192570257754,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,239,565,30,37.7196645644653,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,249,585,21,19.593138283466,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,245,551,18,13.9793930220612,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,256,613,23,10.7624661203927,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,279,593,27,7.30420078162297,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,254,595,19,7.07610676942932,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,246,598,21,6.22131508650091,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,239,596,21,5.93851475119845,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,5,208,592,19,5.65436053620124,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/001.NM,a594,6,875,655,23,9.19857486260389,-2,1
